Time,Exam,Holiday,Semester,Issued Amount
3/3/19,0,0,4,4435
3/4/19,0,0,4,10055
3/5/19,0,0,4,7295
3/6/19,0,0,4,6875
3/7/19,0,0,4,8560
3/8/19,0,0,4,32220
3/9/19,0,0,4,1755
3/10/19,0,0,4,1585
3/11/19,0,0,4,8885
3/12/19,0,0,4,6100
3/13/19,0,0,4,6610
3/14/19,0,0,4,8800
3/15/19,0,0,4,5405
3/16/19,0,0,4,3320
3/17/19,0,0,4,5000
3/18/19,0,0,4,12505
3/19/19,0,0,4,10020
3/20/19,0,0,4,11200
3/21/19,0,0,4,13470
3/22/19,0,0,4,12610
3/23/19,0,0,4,1255
3/24/19,0,0,4,6510
3/25/19,0,0,4,18145
3/26/19,0,0,4,12950
3/27/19,0,0,4,12535
3/28/19,0,0,4,10615
3/29/19,0,0,4,14455
3/30/19,0,0,4,4545
3/31/19,0,0,4,4470
4/1/19,0,0,4,12120
4/2/19,0,0,4,9655
4/3/19,0,0,4,8110
4/4/19,0,0,4,10500
4/5/19,0,0,4,11245
4/6/19,0,0,4,1970
4/7/19,0,0,4,3175
4/8/19,0,0,4,13695
4/9/19,0,0,4,14905
4/10/19,0,0,4,9855
4/11/19,0,0,4,7935
4/12/19,0,0,4,16375
4/13/19,0,0,4,1480
4/14/19,0,0,4,9925
4/15/19,0,0,4,16920
4/16/19,0,0,4,9615
4/17/19,0,0,4,11600
4/18/19,0,0,4,15465
4/19/19,0,0,4,22515
4/20/19,0,0,4,395
4/21/19,0,0,4,3855
4/22/19,0,0,4,18335
4/23/19,0,0,4,9140
4/24/19,0,0,4,11860
4/25/19,0,0,4,9525
4/26/19,0,0,4,18325
4/27/19,0,0,4,3350
4/28/19,0,0,4,3020
4/29/19,0,0,4,12965
4/30/19,0,0,4,9165
5/1/19,0,0,4,9385
5/2/19,0,0,4,8365
5/3/19,0,0,4,10405
5/4/19,1,0,4,1625
5/5/19,1,0,4,4415
5/6/19,1,0,4,3770
5/7/19,1,0,4,4075
5/8/19,1,0,4,7050
5/9/19,1,0,4,1215
5/10/19,1,0,4,825
5/11/19,0,0,1,0
5/12/19,0,0,1,375
5/13/19,0,0,5,5140
5/14/19,0,0,5,10290
5/15/19,0,0,5,6630
5/16/19,0,0,5,5295
5/17/19,0,0,5,8075
5/18/19,0,0,5,0
5/19/19,0,0,5,1585
5/20/19,0,0,5,3480
5/21/19,0,0,5,8150
5/22/19,0,0,5,1825
5/23/19,0,0,5,1660
5/24/19,0,0,5,2170
5/25/19,0,0,5,0
5/26/19,0,0,5,2290
5/27/19,0,1,5,440
5/28/19,0,0,5,660
5/29/19,0,0,5,2760
5/30/19,0,0,5,1580
5/31/19,0,0,5,720
6/1/19,0,0,5,130
6/2/19,0,0,5,550
6/3/19,0,0,5,2115
6/4/19,0,0,5,3760
6/5/19,0,0,5,2770
6/6/19,0,0,5,2910
6/7/19,0,0,5,3560
6/8/19,0,0,5,1000
6/9/19,0,0,5,1365
6/10/19,0,0,5,2780
6/11/19,0,0,5,8830
6/12/19,0,0,5,2075
6/13/19,0,0,5,1535
6/14/19,0,0,5,2515
6/15/19,0,0,5,1525
6/16/19,0,0,5,975
6/17/19,0,0,5,5250
6/18/19,0,0,5,3715
6/19/19,0,0,5,5160
6/20/19,0,0,5,2570
6/21/19,0,0,5,4075
6/22/19,0,0,5,1505
6/23/19,0,0,5,935
6/24/19,0,0,5,5565
6/25/19,0,0,5,6635
6/26/19,0,0,5,2090
6/27/19,0,0,5,2425
6/28/19,0,0,5,6370
6/29/19,0,0,5,555
6/30/19,0,0,5,410
7/1/19,0,0,5,4905
7/2/19,0,0,5,4095
7/3/19,0,0,5,3205
7/4/19,0,1,5,55
7/5/19,0,0,5,1250
7/6/19,0,0,5,630
7/7/19,0,0,5,270
7/8/19,0,0,5,1175
7/9/19,0,0,5,1635
7/10/19,0,0,5,2360
7/11/19,0,0,5,4070
7/12/19,0,0,5,1905
7/13/19,0,0,5,245
7/14/19,0,0,5,245
7/15/19,0,0,5,2640
7/16/19,0,0,5,2325
7/17/19,0,0,5,3090
7/18/19,0,0,5,2515
7/19/19,0,0,5,5725
7/20/19,0,0,5,2735
7/21/19,0,0,5,760
7/22/19,0,0,5,2670
7/23/19,0,0,5,4615
7/24/19,0,0,5,3800
7/25/19,0,0,5,4295
7/26/19,0,0,5,4210
7/27/19,0,0,5,370
7/28/19,0,0,5,370
7/29/19,0,0,5,3255
7/30/19,0,0,5,4795
7/31/19,0,0,5,1910
8/1/19,0,0,5,3070
8/2/19,0,0,5,2260
8/3/19,0,0,5,410
8/4/19,0,0,5,165
8/5/19,0,0,5,4280
8/6/19,0,0,5,4230
8/7/19,0,0,5,2510
8/8/19,0,0,5,7610
8/9/19,0,0,5,1810
8/10/19,0,0,5,925
8/11/19,0,0,5,1085
8/12/19,1,0,5,3825
8/13/19,1,0,5,1820
8/14/19,0,0,1,1565
8/15/19,0,0,1,1430
8/16/19,0,0,1,1205
8/17/19,0,0,1,165
8/18/19,0,0,1,365
8/19/19,0,0,1,1695
8/20/19,0,0,1,1590
8/21/19,0,0,6,3900
8/22/19,0,0,6,6380
8/23/19,0,0,6,11370
8/24/19,0,0,6,405
8/25/19,0,0,6,3105
8/26/19,0,0,6,11485
8/27/19,0,0,6,14235
8/28/19,0,0,6,9775
8/29/19,0,0,6,10795
8/30/19,0,0,6,10810
8/31/19,0,0,6,2160
9/1/19,0,0,6,1995
9/2/19,0,1,6,3010
9/3/19,0,0,6,11920
9/4/19,0,0,6,12865
9/5/19,0,0,6,6445
9/6/19,0,0,6,7430
9/7/19,0,0,6,4125
9/8/19,0,0,6,3860
9/9/19,0,0,6,9830
9/10/19,0,0,6,7805
9/11/19,0,0,6,10885
9/12/19,0,0,6,10965
9/13/19,0,0,6,9770
9/14/19,0,0,6,4335
9/15/19,0,0,6,2335
9/16/19,0,0,6,6910
9/17/19,0,0,6,5650
9/18/19,0,0,6,6800
9/19/19,0,0,6,4630
9/20/19,0,0,6,9885
9/21/19,0,0,6,220
9/22/19,0,0,6,865
9/23/19,0,0,6,3080
9/24/19,0,0,6,3300
9/25/19,0,0,6,3240
9/26/19,0,0,6,2245
9/27/19,0,0,6,1610
9/28/19,0,0,6,130
9/29/19,0,0,6,1000
9/30/19,0,0,6,7240
10/1/19,0,0,6,8360
10/2/19,0,0,6,8950
10/3/19,0,0,6,6915
10/4/19,0,0,6,5835
10/5/19,0,0,6,165
10/6/19,0,0,6,205
10/7/19,0,0,6,5430
10/8/19,0,0,6,6075
10/9/19,0,0,6,7160
10/10/19,0,0,6,8910
10/11/19,0,0,6,7765
10/12/19,0,0,6,165
10/13/19,0,0,6,3060
10/14/19,0,0,6,7880
10/15/19,0,0,6,8245
10/16/19,0,0,6,4650
10/17/19,0,0,6,5020
10/18/19,0,0,6,4035
10/19/19,0,0,6,0
10/20/19,0,0,6,0
10/21/19,0,0,6,4470
10/22/19,0,0,6,4770
10/23/19,0,0,6,7410
10/24/19,0,0,6,3400
10/25/19,0,0,6,9730
10/26/19,0,0,6,1325
10/27/19,0,0,6,1355
10/28/19,0,0,6,6890
10/29/19,0,0,6,5995
10/30/19,0,0,6,6210
10/31/19,0,0,6,6560
11/1/19,0,0,6,5585
11/2/19,0,0,6,2090
11/3/19,0,0,6,1350
11/4/19,0,0,6,5975
11/5/19,0,0,6,4445
11/6/19,0,0,6,6270
11/7/19,0,0,6,4075
11/8/19,0,0,6,4895
11/9/19,0,0,6,9570
11/10/19,0,0,6,2430
11/11/19,0,0,6,6315
11/12/19,0,0,6,9850
11/13/19,0,0,6,12040
11/14/19,0,0,6,11180
11/15/19,0,0,6,4235
11/16/19,0,0,6,3665
11/17/19,0,0,6,2050
11/18/19,0,0,6,11785
11/19/19,0,0,6,7860
11/20/19,0,0,6,14845
11/21/19,0,0,6,21635
11/22/19,0,0,6,8410
11/23/19,0,0,6,450
11/24/19,0,0,6,2890
11/25/19,0,0,6,14835
11/26/19,0,0,6,6995
11/27/19,0,1,6,965
11/28/19,0,1,6,0
11/29/19,0,1,6,4835
11/30/19,0,0,6,3405
12/1/19,0,0,6,760
12/2/19,0,0,6,2255
12/3/19,0,0,6,2055
12/4/19,0,0,6,5300
12/5/19,1,0,6,1190
12/6/19,1,0,6,2600
12/7/19,1,0,6,130
12/8/19,1,0,6,900
12/9/19,1,0,6,2125
12/10/19,1,0,6,4125
12/11/19,1,0,6,4060
12/12/19,0,0,1,2730
12/13/19,0,0,1,1255
12/14/19,0,0,1,0
12/15/19,0,0,1,600
12/16/19,0,0,1,1270
12/17/19,0,0,1,2730
12/18/19,0,0,1,2280
12/19/19,0,0,1,3195
12/20/19,0,0,1,3940
12/21/19,0,0,1,0
12/22/19,0,0,1,150
12/23/19,0,0,1,605
12/24/19,0,0,1,110
12/25/19,0,0,1,0
12/26/19,0,0,1,0
12/27/19,0,0,1,0
12/28/19,0,0,1,0
12/29/19,0,0,1,330
12/30/19,0,0,1,0
12/31/19,0,0,1,0
1/1/20,0,1,1,0
1/2/20,0,0,1,1160
1/3/20,0,0,1,910
1/4/20,0,0,1,0
1/5/20,0,0,1,55
1/6/20,0,0,1,3050
1/7/20,0,0,1,2445
1/8/20,0,0,1,3885
1/9/20,0,0,1,1130
1/10/20,0,0,1,1870
1/11/20,0,0,1,0
1/12/20,0,0,1,320
1/13/20,0,0,1,3365
1/14/20,0,0,1,3025
1/15/20,0,0,1,2600
1/16/20,0,0,1,2495
1/17/20,0,0,1,990
1/18/20,0,0,1,300
1/19/20,0,0,1,550
1/20/20,0,1,1,645
1/21/20,0,0,7,12015
1/22/20,0,0,7,17970
1/23/20,0,0,7,11850
1/24/20,0,0,7,7195
1/25/20,0,0,7,35495
1/26/20,0,0,7,1950
1/27/20,0,0,7,14700
1/28/20,0,0,7,16555
1/29/20,0,0,7,5660
1/30/20,0,0,7,6055
1/31/20,0,0,7,8240
2/1/20,0,0,7,9435
2/2/20,0,0,7,3730
2/3/20,0,0,7,9200
2/4/20,0,0,7,11480
2/5/20,0,0,7,7765
2/6/20,0,0,7,7375
2/7/20,0,0,7,8350
2/8/20,0,0,7,465
2/9/20,0,0,7,13455
2/10/20,0,0,7,7175
2/11/20,0,0,7,9130
2/12/20,0,0,7,7345
2/13/20,0,0,7,7545
2/14/20,0,0,7,7900
2/15/20,0,0,7,6070
2/16/20,0,0,7,2725
2/17/20,0,0,7,8615
2/18/20,0,0,7,11365
2/19/20,0,0,7,9815
2/20/20,0,0,7,8705
2/21/20,0,0,7,9535
2/22/20,0,0,7,3005
2/23/20,0,0,7,2310
2/24/20,0,0,7,8350
2/25/20,0,0,7,6605
2/26/20,0,0,7,7715
2/27/20,0,0,7,7685
2/28/20,0,0,7,13725
2/29/20,0,0,7,10615
3/1/20,0,0,7,1940
3/2/20,0,0,7,12285
3/3/20,0,0,7,17410
3/4/20,0,0,7,7950
3/5/20,0,0,7,18040
3/6/20,0,0,7,23625
3/7/20,0,0,7,4665
3/8/20,0,0,7,1840
3/9/20,0,0,7,17985
3/10/20,0,0,7,9690
3/11/20,0,0,7,7825
3/12/20,0,0,7,4670
3/13/20,0,0,7,5845
3/14/20,0,0,7,1455
3/15/20,0,0,7,4195
3/16/20,0,0,7,2135
3/17/20,0,0,7,650
3/18/20,0,0,7,115
3/19/20,0,0,7,150
3/20/20,0,0,7,805
3/21/20,0,0,7,0
3/22/20,0,0,7,40
3/23/20,0,0,7,0
3/24/20,0,0,7,0
3/25/20,0,0,7,0
3/26/20,0,0,7,0
3/27/20,0,0,7,0
3/28/20,0,0,7,0
3/29/20,0,0,7,0
3/30/20,0,0,7,0
3/31/20,0,0,7,0
4/1/20,0,0,7,0
4/2/20,0,0,7,0
4/3/20,0,0,7,0
4/4/20,0,0,7,0
4/5/20,0,0,7,0
4/6/20,0,0,7,0
4/7/20,0,0,7,0
4/8/20,0,0,7,0
4/9/20,0,0,7,0
4/10/20,0,0,7,0
4/11/20,0,0,7,0
4/12/20,0,0,7,0
4/13/20,0,0,7,0
4/14/20,0,0,7,0
4/15/20,0,0,7,0
4/16/20,0,0,7,0
4/17/20,0,0,7,0
4/18/20,0,0,7,0
4/19/20,0,0,7,0
4/20/20,0,0,7,0
4/21/20,0,0,7,0
4/22/20,0,0,7,0
4/23/20,0,0,7,0
4/24/20,0,0,7,0
4/25/20,0,0,7,0
4/26/20,0,0,7,0
4/27/20,0,0,7,0
4/28/20,0,0,7,0
4/29/20,0,0,7,0
4/30/20,0,0,7,150
5/1/20,0,0,7,340
5/2/20,0,0,7,0
5/3/20,0,0,7,0
5/4/20,0,0,7,1315
5/5/20,0,0,7,0
5/6/20,0,0,7,0
5/7/20,0,0,7,0
5/8/20,0,0,7,1575
5/9/20,1,0,7,0
5/10/20,1,0,7,0
5/11/20,1,0,7,0
5/12/20,1,0,7,0
5/13/20,1,0,7,0
5/14/20,1,0,7,0
5/15/20,1,0,7,0
5/16/20,0,0,1,0
5/17/20,0,0,1,0
5/18/20,0,0,8,0
5/19/20,0,0,8,0
5/20/20,0,0,8,0
5/21/20,0,0,8,0
5/22/20,0,0,8,0
5/23/20,0,0,8,0
5/24/20,0,0,8,0
5/25/20,0,1,8,0
5/26/20,0,0,8,0
5/27/20,0,0,8,0
5/28/20,0,0,8,0
5/29/20,0,0,8,0
5/30/20,0,0,8,0
5/31/20,0,0,8,0
6/1/20,0,0,8,0
6/2/20,0,0,8,0
6/3/20,0,0,8,0
